avgTemp,minTemp,maxTemp,rainFall,avgPrice
28.5,25.2,33,0,3776
27.3,24.2,31.8,4.4,4316
26.2,23.5,29.9,1.8,4360
28.2,24.5,32.9,1.9,4360
28.8,25.2,33.4,2.6,4360
27.9,25.5,32.2,9.1,4151
26.9,24,31.7,8.4,4151
27,23.1,32.3,1.9,4151
27.9,22.8,33.3,1.3,4240
26.3,24.5,29.5,43.3,4149
26.8,24.3,30.4,32.4,4093
26.3,22.9,30.4,3.1,4270
26.2,23.6,29.8,38,4270
27.1,24.8,30,14,4270
27,24.7,30.1,38.2,4270
25.4,22.8,29.2,20.6,4258
25.8,22.3,30.7,16.9,4258
26.7,23.2,31.8,14.4,4070
27.6,24,32.4,0.4,3642
28.1,24.2,33.3,0.2,3662
28.5,24.3,33.9,0,3662
28.5,24.3,33.6,0.2,3662
27.7,24.4,32.1,6,3612
26.5,23.6,31,6.8,3749
24.4,22.4,28.1,19.3,4146
25.5,22.6,29.4,12.7,4371
26,23,29.9,6,4371
26.2,24,28.8,18.3,4371
25.8,23.5,29.3,29.3,4371
25.9,23.5,30,4.7,4360
25.4,23,29.9,17,4383
26.6,23,31.7,14.8,4420
26,23.5,29.8,26.7,4420
26.8,23.4,31.7,3.4,4495
26.9,23,32.1,0.1,4495
26.6,23.2,32.3,10.3,4495
24.5,22.9,26.9,21.5,4895
23.9,21.6,27.1,18.6,5183
22.1,19.9,25.2,0.2,5183
22.6,19.3,26.3,12.4,4945
25.1,21.5,29.8,17.4,4945
24.2,22.6,26.5,42.6,4945
23.4,20.3,27.3,34.2,4945
22.7,19,28,0.2,5535
22.6,18.8,28,0.2,5748
22.3,17.6,28.5,0.5,6664
22.3,16.9,29.5,0,6807
22.8,17.3,30,0,6829
23.3,18.1,30.1,0,6829
21.9,18.2,26.4,6.1,6829
23.2,20.2,27.3,7.4,7184
24.9,20.6,29.7,30.1,7184
18.5,16.1,23.2,9.7,7184
17.7,13.6,23.3,0.2,7184
17.3,12.1,23.9,0,7629
17.3,12.3,23.7,0,7629
17,13.1,22.6,0.1,7629
17.5,13.1,23.7,0.6,11678
16.3,10.6,21.7,0.5,12410
14.1,9.2,19.9,0,12410
14.8,9.4,22.3,0,12011
15.6,9.2,23.2,0,12011
17.8,12.3,22.6,12.9,12011
19,15.3,23.5,6.7,12011
15.6,13.1,19,2.3,10425
15.4,11.4,20.5,0.1,10425
15.7,10.4,22.8,0,10025
16.9,11.3,24.1,0,9626
17.7,14.1,22.7,3.9,9583
18.1,14.4,23.7,0.7,9583
17.6,13,24.6,0,9583
17.1,12.5,22.5,0.1,9000
17.3,13.3,22.9,0,8500
16.2,12.7,20.8,0.3,7600
15.8,11.4,20.9,0,6800
13.9,9.1,19.1,0,6100
14.5,8.2,21.9,0,6100
14.7,9.2,22.2,0.1,6100
14.2,8.9,21.7,0.1,5014
15.1,9.4,22.7,0,4729
15.3,10.5,21.9,0,4356
15.5,10.8,21.3,1.1,3860
15.5,10.8,22.1,0,3770
15.2,9.9,20.8,0.3,3770
16.1,13.5,20.5,8.1,3770
13.1,7.8,17.9,0.3,3688
5.3,0.8,9.8,0,3647
6.7,-0.5,13.3,0,3653
7.6,1.8,14.7,0,3698
9.1,1.3,17.3,0,3614
11.3,5.7,18.2,0,3614
11.3,5.8,17.9,0.6,3614
11.4,5.7,17.6,0,3594
8,3.1,12.6,0,3412
6.9,0.2,14,0,3362
9.1,2.5,16.9,0,3222
10.2,4.6,17.7,0,3184
10.7,5.2,18.1,0,3184
10.8,5.7,17.8,0.4,3184
9.4,4.5,14,1.5,3111
6.1,3.3,9.9,0.1,3154
5.8,0.2,12.3,0,3079
9.9,1.6,16.5,5.5,3142
10.2,4.3,15.3,0.3,3190
8.9,1.8,16.3,0,3190
9.2,5.2,14.4,0,3190
4.1,-0.9,8.8,0,3329
3.4,-2.7,10.6,0,3435
5.3,-0.1,12.6,0,3561
5.1,-0.6,13.4,0,3820
4.6,-0.9,12.2,0,3784
6.8,0,16,0,3784
9.5,2.4,17.3,0,3784
8.6,2.1,14.3,1.3,3958
5.6,-1.5,13.2,0,3927
7.4,1.6,13.8,0,3845
5.6,1.1,10.4,0,3610
1.8,-2.7,7.6,0,3670
3.3,-3.3,10.8,1.3,3670
1.2,-3.1,5.8,0.2,3670
4.7,-1.5,11.9,0.9,3657
7.8,2.3,15.1,0.6,3546
7.2,2.1,15.3,0,3411
8.2,3.6,13.2,1.2,3459
3.8,-0.4,10,0.6,3595
3.4,-2.7,10.2,0,3595
7.8,1.1,14.6,0,3595
6,0.3,12.1,1,3582
0.8,-2.7,6,0.3,3552
1.1,-3.5,5.9,2.1,3552
0.3,-3.8,5,0.1,3709
4,-5,11.4,0.5,3679
1.6,-4.7,9.8,0,3679
-0.8,-7.4,4.8,0.1,3679
3.7,0.9,5.8,11.9,3633
0.8,-5,5.7,0,3509
-6,-8.7,-2.4,0.1,3573
-5,-10,0,0,3616
0,-4.9,4.7,0.8,3616
1,-4.6,8.1,0,3616
5.5,-1.6,11.3,0,3616
4.8,-0.4,11.8,0,3616
3.6,-1.9,11,0,3616
3.7,-1.1,10.6,0,3408
1.8,-3.7,7.9,0,3455
-6.8,-9.5,-2.7,0,3398
-7.1,-11,-3.1,0.4,3398
-5.3,-9.6,-1,0.9,3398
-1.4,-6.6,3.6,0.6,3576
0.6,-3.4,4.7,3.8,3576
-2.2,-5.8,1.8,0.2,3576
-2.8,-6.4,1,4,3599
-6.1,-9.3,-2.3,1,3601
-5,-10.4,0.7,0.4,3601
-3.5,-9.5,3.6,0,3601
-3.3,-8.5,1.8,1.8,4252
-2,-6.8,2.2,0,4168
-0.7,-4,2.5,0,4376
-4.1,-7.3,-0.5,0.1,4609
-5.5,-10.8,0.6,0,4609
-2.6,-10,3.4,0,4609
-2.9,-8.2,1.4,0,4609
-6.6,-11.8,-0.8,0,4399
-3.6,-9.5,1.5,0.4,4423
-5.1,-9.2,-1.1,0,4495
-5.6,-11.6,1.4,0,4521
-2.7,-9.5,3.5,0.1,4521
-7.7,-13,-1.8,0.2,4521
-10.1,-14.8,-5.2,0.1,4521
-7.1,-13.2,-0.6,0,4832
-5,-10.6,0.5,0,4888
-4.2,-8.6,0.8,0,5083
-5.4,-9.3,-0.9,0,4551
-5,-9.6,0.8,0,4451
-3.2,-8.9,3,0,4451
-2.1,-6.6,2.7,1.4,4451
-4.7,-8.2,-1.4,0.3,5104
-6,-10.7,-0.3,0,5251
-5.9,-10.5,-0.4,0,5075
-5.8,-10.5,-0.5,0,5234
-4.5,-8.2,0.4,0,5234
-6.5,-10.5,-2,0.2,5234
-7.3,-11.8,-2.8,0.2,5234
-4.8,-11.9,1.3,0,5221
-0.2,-6.7,7.2,0,5134
1.5,-3.9,8.9,0,5134
1,-5.2,8.7,0,5134
1.9,-3.7,8.8,0,5134
1.4,-3.4,8.5,0,5134
2.5,-3.3,8.6,0,5134
2,-2.9,7.6,0,4859
2.6,-0.7,6.3,1.3,4843
0.8,-2.9,5.5,0,4815
-1,-4.6,3.1,0.3,4744
-0.8,-4.8,4,4.5,4727
-3.5,-7.2,0.7,1.9,4727
-3.7,-9.8,2.5,0,4727
-2.4,-5.5,0.9,3.4,4626
-1.3,-7.3,5.6,0,4651
0.8,-6.3,7.7,1.5,4893
1.6,-0.8,4.4,3.8,4893
1.3,-3.9,8.1,0,4834
2.3,-3.8,9.7,0,4834
4.1,-2.8,11.9,0,4834
4.2,-1.4,11.6,0,4841
4,-2.6,12.4,0,4847
4.8,-2,13.7,0,4699
7.4,-0.4,16,0,4791
4.8,-0.8,10.7,0,4770
5.5,-2.7,12.8,0.1,4770
6.1,4.1,8.6,43,4770
4.9,3.4,7.2,3.8,4710
2.5,-0.4,5.6,3.2,4710
0,-3.3,4.3,0,4763
-0.8,-5.4,4.1,0,4590
0.7,-4.6,6.8,0,4688
2.5,-3.8,9,0,4688
4.9,-0.6,10.8,0,4688
3.5,-0.1,7.6,0,4750
3,-2.9,9,0,4798
2,-2,6.7,0,4544
2.7,-3.5,8.6,0,4596
5,-1.5,12,0,4629
7.6,0.4,15.4,0,4629
9.8,2.4,18.1,0,4629
9.1,3.9,16.1,0,4693
4.1,-0.6,8.9,0,4761
1.3,-2.4,5.9,0,4743
2.1,-3.5,8.4,0,4846
5.8,-3.6,13.8,0,4824
10.5,4.3,16.4,0,4824
7.1,4.5,11.3,15.2,4824
7.9,4.1,13.1,0.6,4824
3.6,0.1,7.7,0.4,4824
2.8,-3,8.7,0,4824
4.8,-0.4,10.6,2.8,4776
3.1,-0.5,7.1,0.3,4662
3.2,-2.9,9.3,0,4662
5.5,-2.5,11.9,0,4662
6.2,1,11.9,0.4,4550
5.1,-1.2,11.2,0,4530
7.9,0.4,15.7,0,4486
9.7,1.6,19,0,4341
10.9,1.5,19.8,0,4341
8.9,4.7,14,0.1,4341
7.2,2.8,12.1,2.6,4341
7.8,1.1,15.3,0,4265
9.1,0.5,18.2,0,4073
11,1.3,18.9,0.7,4057
11.7,9.1,14.4,17.1,3783
11.7,7.1,17.4,3.3,3783
10.5,3.4,18.1,0,3783
12.3,4.5,19.9,0.5,3783
10.1,5.1,15.4,2.7,3905
10.2,1.4,18.3,0,3905
12.1,3.6,20.2,0,3961
13.2,4.3,21.2,0,3808
16.2,9.8,23.5,0.1,3708
11.5,6.1,18.8,0.1,3708
11.3,4,18.7,0,3708
7.9,5.1,11.8,2.7,3654
9.2,4.2,15.1,0.7,3329
10.8,2.8,18.5,0,3126
13.4,5.4,20.3,0,2406
10.7,8.7,13.9,26.8,2360
10.7,6.3,15.8,0,2360
10.4,5,16,0.4,2360
12.9,6.3,18.8,0.3,2304
12.4,9.8,15.3,11.9,2225
12.1,8.2,16.8,2.4,2243
10.2,5.9,15.4,0.7,2117
13.3,4.1,19.9,0.6,1978
17,13.3,21.3,37.3,1978
15.1,11.2,18.7,2.3,1978
15.3,9.5,21.9,0,1889
16,10.8,22.5,0,1769
14.4,7.4,21.3,0,1735
15.1,8.5,21.8,0,1735
14.9,9.5,19.3,1.1,1650
17.9,13.7,24.2,1.2,1650
18.4,12.3,25.5,0,1650
19.7,14.1,24.6,5.7,1594
18.5,15.2,22.6,41.3,1594
15.8,14,18.1,46.4,1611
15.1,11.6,19.3,2.9,1593
16.2,10,22.2,0,1585
17.6,11.1,24.3,0,1585
17.7,9.3,25.6,0,1585
16.6,11.2,22.5,0,1590
16.2,8.6,23.5,0,1349
18.9,10.4,26.1,0,1313
20.4,15,25.8,0.1,1217
20.2,16.4,24.5,3.3,1220
17.5,14.3,22.1,4.4,1220
16.9,13,22.1,1.8,1220
15.7,12,20.4,3.5,1282
18,9.8,26.1,0,1272
18.8,13.2,24.8,0,1263
16.3,14.3,19,6.2,1150
16.7,14,20.1,0.7,1142
18.6,13.5,24.9,0,1142
19.5,13.9,26.1,0,1142
19,13.6,25.2,0,1192
17.2,15.3,20,2,1196
17.6,14.5,22.2,11.6,1169
18.5,14.7,24.3,0,1212
19.6,14.2,26.1,0,1212
20.8,16.5,26,0.1,1212
21.5,16.1,28.3,0,1212
21.3,14.6,27.8,0,1212
21.5,15.1,28.3,0,1250
22.1,15.7,28.8,0.4,1236
21.2,17.3,25.6,0.3,1227
21.2,17.7,25.1,2.8,1222
22.9,17,29.6,1.4,1222
22.2,17.6,28.3,0.8,1222
20.7,16.8,25.8,0.1,1211
21.3,15.8,27.4,0,1211
21.7,17,27.2,0.1,1216
22.6,17.2,28.5,0,1292
22,16.6,28.1,0,1287
22.3,18.2,27.3,1.5,1287
23.1,17.1,29.5,0,1287
23.3,17.5,29.9,0.8,1201
24.8,18.5,31.5,0.1,1167
23.8,20.9,27.3,22.1,1178
25.2,22.5,28.4,21.6,1178
22.1,19.8,25.5,52.1,1179
19.7,18.4,21.8,54.1,1179
20.6,18.3,23.2,48.3,1179
21.7,18.6,25.2,3.4,1200
23.8,18.4,29.6,4.7,1199
24.7,21.8,28.8,34,1189
24.6,21.9,28.2,19.4,1318
25.1,21.9,29.6,0.8,1385
26,22.2,30.7,2.1,1385
24.2,22.1,26.5,49.1,1385
24.3,20.5,29,9,1465
24.2,19,30.4,0,1492
22.8,19.5,27,4.2,1614
23.2,20.9,25.7,21.8,1653
24.4,22.5,27.3,22.6,1718
23.2,21.2,26.1,84.4,1718
23.2,21,26.6,57.2,1718
23.2,20.7,27,20.6,1734
24,21.8,26.8,30.7,1786
24.9,22.8,27.2,8.9,1923
25.3,23.3,28.6,20.4,2158
26.1,23.2,30.1,6.8,2198
26.2,22.8,30.5,9.3,2198
26.4,22.6,31.4,2.9,2198
27.1,22.8,32,0.1,2287
27.5,23.7,31.8,0.7,2287
26.7,22.4,31.8,0,2331
24.4,20.8,28.9,1.4,2648
23,20.1,26.6,3.6,2743
24.5,21.4,29.1,2.1,2743
23.9,22.1,27,14.1,2743
24.6,21.6,28.6,6,3003
26,22.6,29.8,17.5,3075
26.2,24,29,55.6,3155
26.9,24,30.7,12.1,3435
26.9,23.9,31.4,7.7,3548
26.4,23.7,30.6,6.5,3548
25.7,23.2,29.2,13.3,3548
25.2,23.3,28.2,33.6,3723
25.5,23.3,28.8,13,3764
26.3,23.4,30.6,9.3,3975
26.9,23.4,31.8,2.9,3979
27.9,23.3,33.2,0.1,3976
27.4,24.1,31.8,2.5,3976
27.5,24.4,30.8,32.9,3976
26.6,23.9,29.9,28.8,4294
25.1,23.3,27.5,35.9,4294
26,23.9,29.3,11.9,4294
27,24.1,31.5,5.9,4430
26.3,23.9,30.2,15.6,4043
26,23.5,29.7,6.4,4043
26.1,23.5,30.6,4.4,4043
26.2,23.3,30.1,1.7,4043
26.5,23.7,30.6,12.6,3913
25.3,23.6,28.1,25.6,3930
24.7,22.2,28.7,5.6,3930
22.9,20.7,25.5,3.5,3993
21.1,19.1,23.7,15,3993
22.5,18.3,27.9,2.9,3993
21.7,18.6,25.7,2,3993
21.7,17.9,25.7,3.3,4047
22.4,19.4,25.9,2,3973
23.4,20.1,27.5,0.4,4109
23.9,21,27.7,1.4,4098
25,21.8,29.5,0.8,4098
25.2,21.3,30.2,0,4098
25.8,21.9,31,1.4,4098
25.7,22.4,30.9,0.7,4048
26,22.1,31.8,0,4223
25.8,21.1,32.1,0,4309
25.2,20.6,30.3,0.5,4182
24.7,20.9,29.5,0.2,4182
23.3,19.4,28.3,2.1,4182
22.4,18.3,28.1,1.9,3731
21.8,16.7,28.3,0.1,3650
21.3,14.8,27.9,0,3561
21.8,18.7,25.8,0.1,3415
20.8,18.8,23.9,1.6,3485
19.8,18.1,22.1,16.2,3485
21.6,19.1,24.6,24.5,3485
23.7,21.1,28.2,4,3485
24.5,21.3,29.5,0.1,3485
24.9,21.3,30.5,0,3757
24.8,20.4,31.1,0,3643
25.2,20.6,31.5,0,3698
24.8,21,30,3.3,3698
21.6,19,25.3,3.6,3698
18,15.7,20.5,0.6,3521
17.4,13.5,21.5,0.1,3424
17.3,12.1,23.2,0,3422
16.7,10.4,24,0,3176
17.5,11.1,25.3,0,2858
18.1,11.9,25.5,0,2858
18.4,12.5,25.8,0,2858
18.4,12.2,26.5,0,2651
18.4,11.2,26.4,0,2472
18.5,13.7,23.5,0,2538
17.9,16,20.2,12.4,2219
16.9,11.8,21.5,0.2,2308
13.4,8.7,19.3,0,2308
12.9,8.2,18.7,0,2308
12.3,6,20.1,0,2308
13.9,6.5,21.9,0,2463
15.6,11,22.5,0,2466
15.6,9.9,22.3,0,2183
14.1,7.9,21.7,0,2292
14.5,8.2,22.7,0,2292
15.5,9.1,23.1,0,2292
16.5,10.5,24.5,0,2289
16.1,10.8,23.8,0,2378
15,8.5,21.5,0,2345
16.7,10.9,24.6,0,2177
14.4,12.4,16.1,9.8,2220
15.7,11.8,20.6,5.3,2220
15.5,10.8,20.4,0.4,2220
13,7.2,19.1,0,2376
9.8,3.3,17.9,0,2299
12.3,4.1,21.1,0,2282
15,9.1,21.4,0,2250
15.9,11.5,20.1,9.1,2225
15.2,11.9,19,22,2225
14.7,10.1,19.7,0,2225
14.2,11,17,1.9,2207
8.6,3.8,13.5,0,2208
8,1,16.5,0,2208
10.8,3.5,19.4,0,2209
13,7.7,20.2,0,2217
13.3,10,17.1,2.3,2217
14.1,9.8,19.6,0.3,2217
13.2,7.3,21.2,0,1999
14.9,8.1,22.3,0,1973
16.3,12.5,22.1,0.1,1959
17.2,12.1,23.8,0,1921
18.7,14,23.8,2.3,1900
18.9,16.2,23.4,21.1,1900
16.2,14.5,19,9,1900
15.5,13.3,19.2,0.3,1834
14.3,11.8,17.6,1.1,1796
13.7,11.4,16.6,0.8,1741
13.4,10.1,16.9,0.1,1611
12.4,9.3,16.6,1.9,1480
11.7,7.7,17,0,1480
11.7,7.5,17,0,1480
8,3.5,13.5,0,1470
7,1.7,14,0,1415
9.1,1.7,17,0,1342
11.9,6.8,15.7,1,1197
14.5,11.4,17.5,20.6,1168
13.2,7.6,18.1,6.3,1168
3.9,0.9,7.7,0,1168
2.7,-1.8,8.4,0,1146
5,-1.1,9.2,0.2,1131
5.5,1.9,10.4,5.2,1135
1.9,-1.7,5.9,0,1122
2.9,-1.8,9.3,0,1129
5.9,-0.9,12.5,0,1129
10.7,5.2,17.5,0.1,1129
12,7.8,18.2,0.4,1101
11.8,8.2,16.6,2.4,1093
8,5,11.5,29.7,1106
6,4.3,8.2,1.6,1106
6.5,3,9.4,2.6,1106
6.3,3.2,9.6,7,1106
4.9,0.9,9,0,1106
2.8,-1.7,8.2,0,1189
4.6,1.6,9.2,0.2,1181
5.7,2.4,9.1,0,1181
3.3,-0.5,7.4,1.7,1141
-0.6,-3,2.7,1.5,1132
-0.5,-4.7,3.4,0.5,1132
3.5,-0.5,7,0,1132
4.4,-0.5,9.5,0,1149
2.2,-3.4,9.8,0,1133
3.9,-2.8,10,0,1133
0.1,-3.9,5.3,0,1193
-3.7,-6.4,-0.3,0.5,1214
-3.4,-8.1,1.5,0,1214
-0.6,-4.9,4.3,0,1214
-1.1,-6,4.7,0,1241
-0.2,-5.8,5.5,0,1241
2.4,-1.9,6.7,0.1,1241
-1.6,-6.6,3.5,0.1,1316
-4.4,-9.3,1,0.3,1308
-3.1,-7.2,1.2,0.8,1308
-4.1,-7.9,0,0.1,1308
-4.8,-9,0.2,0,1251
-3.3,-9.1,3.8,0,1282
-0.5,-6.3,5.9,0.1,1323
0.2,-4.5,5.4,0.3,1338
-2.1,-6.7,4.6,0,1326
-1.2,-7.1,3.8,0,1326
-0.3,-4.7,3.8,0.4,1326
-2.8,-7.5,2.6,0,1319
-1.9,-5.8,2.8,0.7,1319
-4,-6.6,-1,0.8,1319
-4.1,-8.7,1.5,0,1338
-2.6,-7.8,3.7,0,1338
-3.3,-9,4.1,0,1338
-1.9,-8.2,4.7,0,1338
0.1,-4,4.9,0,1350
0,-3.7,4.5,0,1347
-3,-7.6,0.7,0,1340
-3.4,-9.6,2.2,0,1192
-0.2,-4.8,5.3,0,1194
-1,-6.6,4.9,0,1194
-0.6,-3.9,3.8,0,1194
1.2,-4,7.3,2,1190
2.8,-1.2,8.6,0.2,1240
2.4,-1.8,7.3,0.4,1240
4.8,1.7,7.4,5.9,1288
5.9,3.5,8.9,1.4,1374
3.8,1.4,6.7,1.5,1374
-1.7,-6.2,2.5,0,1374
-6.3,-9.6,-2.3,0,1374
-5.8,-10.6,-0.7,0.2,1374
-5.9,-9.7,-2,0.7,1377
-3.3,-10.9,3.2,0,1427
0.1,-4.9,6.1,0.1,1431
0.2,-3.8,5.7,0,1431
-0.9,-5.8,4.8,0,1431
-2.8,-7.1,2.4,0,1386
-2.3,-9.2,3.4,3.3,1374
-6.5,-10.6,-0.4,0.3,1510
-10.2,-13.9,-5.7,0.1,1522
-7,-13.7,-0.9,0,1522
-1.9,-7.5,4.1,0.1,1522
-0.6,-5.2,5.6,0,1522
1.2,-4.3,6.2,1.6,1488
-3.7,-8.5,3,0,1511
-6.3,-11.1,-1.6,0.4,1576
-3,-8.8,1.7,0.2,1598
-1.4,-6.2,3.7,0,1629
-2.4,-8,3.6,0,1629
0,-7.2,6.7,0,1629
2.3,-0.9,6.5,0.5,1679
3.4,-0.8,9,3.4,1676
